NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO
200004895640;2020;2;M;1;3;1;2;0;2;1.0;0;2307700.0;Maranguape;23.0;CE;2.0;1.0;1.0;2307700;Maranguape;23;CE;1;1;1;1;598.0;567.0;577.0;588.0;444.1;447.3;456.0;386.8;EAEAACBAABDBEEBBACDCD*BCECCBDCABEDEDACAAABCDC;ADEADDA.A*ADDDAACDACBADCACAAABDABACDAACB.ACCC;99999DABCACEAAEDCCBCEABDEAADCBADEEABCAAAABBEEAADBA;DCDDCCACCBAABBCDBDBBBAABDBBBCCBECACADBCEBBEAC;1;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1.0;140.0;120.0;100.0;120.0;80.0;560.0
200006713323;2020;1;F;1;3;1;2;0;3;1.0;0;2211001.0;Teresina;22.0;PI;4.0;1.0;1.0;2211001;Teresina;22;PI;1;1;1;1;597.0;569.0;580.0;587.0;526.2;606.3;528.4;623.8;ACECBCECBEEEAEDABBAEBEDBACACABECCACACCBDADCEA;CEABCAEBDEBBCBCDBEDDCDADCEEACCEDADDAECCCADCBD;CCDDC99999ABABABAEBAAADBCEEACBDBADCDADABDDBAADBACA;AACCACBDBCCCBCDCCCECDCACCCBCEACBDCACBECEEBABC;0;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1.0;120.0;120.0;120.0;140.0;160.0;660.0
200005542995;2020;3;F;1;1;1;2;0;2;1.0;0;4106902.0;Curitiba;41.0;PR;2.0;1.0;1.0;4106902;Curitiba;41;PR;1;1;1;1;597.0;569.0;580.0;587.0;466.1;485.5;515.4;477.1;BDDEABDBADCACACECDCCBDABEBCEEBBCBCBCABDABACDC;ADCBBCECAEACBACCADEDBAADCABACBAAADACBCECCCCBE;99999AADDCBACABDAEBDAADBAAEACCDBABBCCACBDAACDACBCB;DACDCEBBBACCBBEABBBCEEACBACBBABBBCBEBCBABBCBB;1;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1.0;140.0;40.0;40.0;140.0;40.0;400.0
200003326547;2020;1;M;1;3;1;2;0;2;1.0;0;3305109.0;São João de Meriti;33.0;RJ;2.0;1.0;1.0;3305109;São João de Meriti;33;RJ;1;1;1;1;599.0;568.0;578.0;590.0;485.7;505.9;465.9;554.5;EADBDCCAADBCEDCECADBCDEBDDBEDDAEDBAAEDBAEABDB;EDECDACAEADACBEDCBEABCDBBADDDCEABABEABDCADBCE;ADDBA99999CBDDEACACAEADBBACDABDECBADECDACEAEADECBB;ABDEADCDCBBACCBCDABCDACDDEDABADEDCBBADCEBAEBC;0;CBDDDDCAAECEDDCEDBDDAEDECAEDCCDDDCBDCDXBAACCB;BDECBCCDEDDAEBDCDDCBBEDABCCBACDBDEECCADEDBECE;CDEAACAEEEBEBADADAAAAACBAEBDEADACDBBDBACECAAADEBBE;CABCAACCACDABEEEBAECXCCCEEDBACCDBCCABBCCBDDBB;1.0;140.0;40.0;40.0;140.0;40.0;400.0
200001351005;2020;2;F;1;3;1;2;0;2;1.0;0;3539806.0;Poá;35.0;SP;2.0;1.0;1.0;3539806;Poá;35;SP;1;1;1;1;599.0;568.0;578.0;590.0;404.7;495.8;457.9;433.2;EECCAACCBDCAAECACBEBCABEDBCCCCDCEBAEBCDDCDBBD;EDDCEEBADDEADADABDCDCCAEEDADEADACDEECCDACABCC;CCEED99999CDCAAAABEEDBDBBEBAACCBCDBAACEDBCBCBBEBBA;DEBCDCACEBBDACBBAAACAACBAECBABCDDEBCDCADEDBDA;0;CBDDDDCAAECEDDCEDBDDAEDECAEDCCDDDCBDCDXBAACCB;BDECBCCDEDDAEBDCDDCBBEDABCCBACDBDEECCADEDBECE;CDEAACAEEEBEBADADAAAAACBAEBDEADACDBBDBACECAAADEBBE;CABCAACCACDABEEEBAECXCCCEEDBACCDBCCABBCCBDDBB;1.0;120.0;120.0;100.0;100.0;100.0;540.0
200006624342;2020;2;M;1;1;1;2;0;3;1.0;0;2802908.0;Itabaiana;28.0;SE;4.0;1.0;1.0;2800506;Areia Branca;28;SE;1;1;1;1;598.0;567.0;577.0;588.0;625.1;693.2;606.0;445.1;CAEABEDCACDEEEEDADDDDCCDEAECEDEBCCDDCEADAEDCE;DABCBDDDADDAEEECCBADEADAECBCCCBACCEBABEBDECDB;99999BCECAEEECACAADBDDCDDAADBADDEBBEBADADEACBAADBD;CEBBDCAEDCDCEACEADEEBDCBEACCCDBEAACBDBCA.BECE;1;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1.0;160.0;200.0;120.0;160.0;120.0;760.0
200002263694;2020;1;M;1;3;1;2;0;2;1.0;0;2506301.0;Guarabira;25.0;PB;2.0;1.0;1.0;2506301;Guarabira;25;PB;1;1;1;1;597.0;569.0;580.0;587.0;617.4;613.6;611.5;687.0;DCCACBDDBACDAECACCECEADBEEAEABAC.DDACCCADDCED;DEBBAADACECBAECDDCBAEDABAEBAAECDADDCACECDCDBD;DAEAA99999CECABCBEBAAADBBEAECEDAADBADDAADEBCBACBDA;DACCBCEDCEAECCDCACCBDBCCDAADEBABC.CACBBAEDAEE;0;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1.0;160.0;160.0;160.0;160.0;160.0;800.0
200005280054;2020;2;M;1;3;1;2;0;2;1.0;0;3134202.0;Ituiutaba;31.0;MG;1.0;1.0;1.0;3134202;Ituiutaba;31;MG;1;1;1;1;597.0;569.0;580.0;587.0;419.3;491.5;566.8;518.9;EABBDCCDADCBACCEEAAEBADDBECECBDACDBEEDCBEDCAB;CEECDDBBDACADBCADADECBDABCEDEBCDADEDAE.CBDAEA;99999CCDDECDCEBEAEBEACDBBAEBAEDBECECDAEADEBDACBAAC;AADCECBDBABEBEAADCEBDACBEDACBEBAEDCDABCEDCEAB;1;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1.0;160.0;180.0;140.0;180.0;200.0;860.0
200002256999;2020;3;F;1;3;1;2;0;2;1.0;0;1505700.0;Ponta de Pedras;15.0;PA;2.0;1.0;1.0;1505700;Ponta de Pedras;15;PA;1;1;1;1;598.0;567.0;577.0;588.0;372.1;457.1;359.7;363.6;DACAACCCCABDEDADAACEBEBAEEEAECCEDDEDAAAEBDEAA;ADEABABABAEAEDEAEEEAEADDDEADDEBDCDBBADEBCEECB;BEEDB99999BBDBDAAEDAAAEEBCAACACAABACABCEABDBBCCAAE;DEDCAABCDDABBBDDEABACDCACEACACEBAAABBACAEECCC;0;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1.0;80.0;100.0;100.0;100.0;40.0;420.0
200006229613;2020;1;F;1;1;1;2;0;3;1.0;0;2602902.0;Cabo de Santo Agostinho;26.0;PE;4.0;1.0;1.0;2607208;Ipojuca;26;PE;1;1;1;1;600.0;570.0;579.0;589.0;507.1;559.8;576.1;459.6;DCBAACDBCDEDDBEBEEEDDCDBCCECDECCDBCCCDCABADDC;BDBBDEEAEDCBADDEEDAAEADCDAAEEDECADCCECBEACBAE;ADACD99999DAECACADADDEAAEBACADEBEEEDEAADAADDEBBAAE;DECCCEACADCEBDAEDCAEABBDEADCCEDCEBCDBCDCCADCA;0;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1.0;160.0;160.0;180.0;200.0;140.0;840.0
