NU_INSCRICAO;NU_ANO;TP_FAIXA_ETARIA;TP_SEXO;TP_ESTADO_CIVIL;TP_COR_RACA;TP_NACIONALIDADE;TP_ST_CONCLUSAO;TP_ANO_CONCLUIU;TP_ESCOLA;TP_ENSINO;IN_TREINEIRO;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;CO_UF_ESC;SG_UF_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;CO_MUNICIPIO_PROVA;NO_MUNICIPIO_PROVA;CO_UF_PROVA;SG_UF_PROVA;TP_PRESENCA_CN;TP_PRESENCA_CH;TP_PRESENCA_LC;TP_PRESENCA_MT;CO_PROVA_CN;CO_PROVA_CH;CO_PROVA_LC;CO_PROVA_MT;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TX_RESPOSTAS_CN;TX_RESPOSTAS_CH;TX_RESPOSTAS_LC;TX_RESPOSTAS_MT;TP_LINGUA;TX_GABARITO_CN;TX_GABARITO_CH;TX_GABARITO_LC;TX_GABARITO_MT;TP_STATUS_REDACAO;NU_NOTA_COMP1;NU_NOTA_COMP2;NU_NOTA_COMP3;NU_NOTA_COMP4;NU_NOTA_COMP5;NU_NOTA_REDACAO;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025
200006167941;2020;2;F;1;1;1;2;0;2;1.0;0;2611804.0;Ribeirão;26.0;PE;2.0;1.0;1.0;2611804;Ribeirão;26;PE;1;1;1;1;600.0;570.0;579.0;589.0;452.9;505.0;536.4;381.4;DADBDACBDDCBACAACCBADCEADBEBDDCCACDDDEEAEBBDC;BDDABEEEEDDBDCDDCABDDAEDDDAAABAAAAACEBABDAEBA;99999EEBCDDBADECAAAAECBADCABADEAADDDDEDDDDDDCBBDEB;CDBEBECBAEECEADEDCCAEDEDDCEEDCAEBAACABCCDBAAA;1;DCDXDCCAEBADCBAAEACCBCEDDCBDDDAEDDCDECCEDBDDD;BDDBECECBACDBDEEBDEDDAECDDCCADECBCCCBBEDABCDE;AACDEEEECADBBCAAADBADEABEBAAADEBADADAEBDACAACBBECE;BAECDBBXCCCBDBACCDBEEEBCCAABCCACEACCEDBCABCDA;1.0;120.0;160.0;160.0;140.0;160.0;740.0;E;E;C;B;4.0;B;A;B;C;A;A;B;A;A;A;B;A;A;B;A;A;B;A;A;B
200004952395;2020;12;M;1;1;1;1;0;1;;0;;;;;;;;4316907;Santa Maria;43;RS;1;1;1;1;599.0;568.0;578.0;590.0;545.6;651.7;605.2;579.3;CADDDDCCC*CCDADAADEEBEADABCDADDCCABDAEACAABED;BDECACBDEDAABBBCDDCBCEDDBCADACDADAECCDCDDEEBA;ADDAA99999BEDAEADBEAABDEAEEDADDACDBCDAAC*CDDADECBD;CCBBDDCACEBACCDEBAAEABEACCACCDCECCDDAB*CCDDEE;0;CBDDDDCAAECEDDCEDBDDAEDECAEDCCDDDCBDCDXBAACCB;BDECBCCDEDDAEBDCDDCBBEDABCCBACDBDEECCADEDBECE;CDEAACAEEEBEBADADAAAAACBAEBDEADACDBBDBACECAAADEBBE;CABCAACCACDABEEEBAECXCCCEEDBACCDBCCABBCCBDDBB;1.0;160.0;120.0;140.0;140.0;100.0;660.0;B;B;B;B;1.0;C;A;B;B;B;A;B;B;B;B;B;A;B;B;A;A;B;A;B;B
200004268388;2020;4;M;1;1;1;1;1;1;;0;;;;;;;;5105622;Mirassol d'Oeste;51;MT;1;1;1;1;599.0;568.0;578.0;590.0;642.1;643.5;619.1;800.3;CCDDBACAABCCDDCAECEEAEDECDEECDDDDAEDCDDEDAEBB;BBBCBCBAADDAEBDCDCBABEDACAEDACDADEECCADDDBECB;CDEAA99999DCDADEDACABDEBCEDDEAAEBDBBDDAAECDABDEBBA;CBBCAACCACCABEBEBDECBCACEEDCACDDCCCAECDABDDBB;0;CBDDDDCAAECEDDCEDBDDAEDECAEDCCDDDCBDCDXBAACCB;BDECBCCDEDDAEBDCDDCBBEDABCCBACDBDEECCADEDBECE;CDEAACAEEEBEBADADAAAAACBAEBDEADACDBBDBACECAAADEBBE;CABCAACCACDABEEEBAECXCCCEEDBACCDBCCABBCCBDDBB;1.0;180.0;200.0;200.0;200.0;200.0;980.0;D;E;D;D;4.0;J;B;D;D;C;A;B;C;B;A;B;A;A;C;B;B;E;B;C;B
200004231098;2020;6;M;1;1;1;1;4;1;;0;;;;;;;;2515302;Sapé;25;PB;1;1;1;1;598.0;567.0;577.0;588.0;608.4;628.3;521.8;513.1;CEEDDDDDACBCDBECADDBDCBAAEECCEAADCDCBBDDBCDEC;DCBCBDEDADAEEDEBBBEDECBCECACACEDCDCDAAEADCBAB;DACBE99999BEAECEAEBBEDADDECDDBDACCAEBACADDAECBBADB;ABAAAACECEBCBACABAACAE.B.BCADBADDECBCAEDCDBDC;0;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1.0;140.0;180.0;160.0;160.0;120.0;760.0;B;F;C;D;3.0;A;A;C;C;A;B;B;A;A;A;A;A;A;B;A;A;C;A;B;B
200004307255;2020;3;M;1;1;1;2;0;3;1.0;0;3548708.0;São Bernardo do Campo;35.0;SP;4.0;1.0;1.0;3548708;São Bernardo do Campo;35;SP;1;1;1;1;598.0;567.0;577.0;588.0;509.0;387.9;540.3;652.1;DADCAEADCCDCEADEDDDBCACDCBACCDBEECDCBCDAEECDB;BAEBCDEAADCACAADEAADEDACA....................;ADDCA99999DBCABBDEABDAACCAAADADDEBAECBAAAABCDDADBB;AECCDBCCAACDAACCDCDCBDDBDDECCABDACCEABBCCCEAD;0;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1.0;120.0;120.0;120.0;120.0;80.0;560.0;F;G;E;D;4.0;Q;B;E;D;C;A;B;B;B;B;C;B;B;E;B;B;E;B;C;B
200004452576;2020;3;M;1;1;1;1;1;1;;0;;;;;;;;2300309;Acopiara;23;CE;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;B;B;F;F;4.0;A;A;B;C;A;B;B;A;B;A;A;A;A;B;B;A;D;A;A;B
200004618911;2020;5;M;1;1;1;1;3;1;;0;;;;;;;;3201209;Cachoeiro de Itapemirim;32;ES;1;1;1;1;597.0;569.0;580.0;587.0;522.6;518.9;532.0;599.5;DDEEBEDBEEECECEDDDABADDEECACAEACCEDAEBDDBDAAD;AEBEAEDACDAACACDDEBDAADEABACCDEAADBAEBECBABBD;99999BEEDAEBCEBDEEABAADBABEAAACDADAADDCAADDDACEACA;CAACDEECCBAECBECBBEADCDCABEBDBBEDBACCABAEECCC;1;DDBACBDDDECDAEDCCCEDBDDCBDDCAAECEDDACCBAEDCDX;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;DABCCAEDBBCCCABCACCBDXCCCBEEEDBBACCDACBAEBAEC;1.0;120.0;120.0;120.0;120.0;120.0;600.0;E;E;C;A;3.0;F;A;B;C;B;A;B;B;B;A;B;A;A;B;A;B;D;B;B;B
200001186115;2020;6;M;1;1;1;1;3;1;;0;;;;;;;;3132404;Itajubá;31;MG;1;1;1;1;598.0;567.0;577.0;588.0;383.2;355.9;572.7;340.1;EAEBDECDCACDECDDAAEBDBCDECEAAABDDBECDDBABBCEA;DECBCCBDBABBEACABCECAAADCEDBEDEACBCBABDEBAEAC;DADEA99999AECAEBBEABADDCDBAACABDEBBDCAEADDECABEDBE;ACDCBDCEBCDDADBBCDCBEEAADCBCDCEABEABDACADECEA;0;CEDBDDDCACCBDAEBADCBDCDXAAECEDDDECDDCBDDAEDCC;DABCBDDDAEDBECECBBEDEBDEECBCCCBACDCCADEBDECDD;AAEDCACEEECEAACBAEBBEDACDBAADADDEBBEBAAADEACAAADBB;AEBCCXCCCACCDABCCABCABCBAECEDBBDBEEEDBBACCDAC;1.0;100.0;120.0;120.0;120.0;80.0;540.0;E;E;D;B;3.0;H;A;B;C;B;B;B;B;B;B;B;B;B;C;B;B;D;A;B;B
200004358793;2020;1;F;1;1;1;3;0;1;;1;;;;;;;;3537800;Piedade;35;SP;0;0;0;0;;;;;;;;;;;;;1;;;;;;;;;;;;E;G;B;D;3.0;E;A;C;D;B;A;B;A;B;A;B;A;A;B;A;B;D;A;A;B
200002875615;2020;1;F;1;1;1;3;0;1;;1;;;;;;;;1501402;Belém;15;PA;0;1;1;0;;569.0;580.0;;;570.7;566.7;;;AEABCDEBBACBBDBDDCDDDBACAEADCADDAADDECEC*BBBB;DEDAA99999BBAABEDCBDCADBCDEACEBCECECDDADDABDCACECA;;0;;DECCADEBDECBBECDDCBACDBDEEDABCDDAEDBECECBCCBD;DCEAAEEEACAACBBEBEBAAADBBAEBCEDBAADADDEADEBDACCAAA;;1.0;120.0;100.0;100.0;100.0;20.0;440.0;G;G;E;E;4.0;O;D;E;D;C;A;B;B;B;A;B;A;B;E;B;B;E;B;D;B
